#,"Onko ryhmän työnjako mielestäsi selkeä?","Onko ryhmän kommunikointi ollut mielestäsi onnistunutta?","Onko projektin ajanhallinta ollut onnistunutta?","Koetko tulleesi kuulluksi?","Tunnetko iloa ja onnistumista työssäsi?","Käy katsomassa http://myy.haaga-helia.fi/~a1503056/digiprojekti/kyselyv0.3/ja vastaa seuraaviin kysymyksiin.Oliko linkin vastauslomake mielestäsi helppokäyttöinen ja selkeä?","Minä tiedostomuotona haluaisit kyselyn vastaukset ladata?","Millä tavalla haluaisit kyselyn vastausten näkyvän?","Start Date (UTC)","Submit Date (UTC)","Network ID"
956bf3004ee1bf23c8a73913973f6c15,Erinomainen,Korjattavaa,Hyvä,Korjattavaa,Hyvä,,,,"2016-10-28 10:05:22","2016-10-28 10:06:14",deb03f8a5d
3d95af2d4821081b74f7549741f20884,Hyvä,Erinomainen,Hyvä,Erinomainen,Hyvä,,,,"2016-10-28 10:05:27","2016-10-28 10:06:40",deb03f8a5d
fb90efb6e72f12f4e9c7e0337ffcaa4c,Hyvä,Hyvä,Erinomainen,Erinomainen,Hyvä,,,,"2016-10-28 10:10:52","2016-10-28 10:11:26",60e9e6080d
cc19ca182e66e8e692a7a7eabc314a80,Hyvä,Hyvä,Korjattavaa,Hyvä,Hyvä,,,,"2016-10-28 10:20:32","2016-10-28 10:21:13",60e9e6080d
1955fdd707921b6a532000033432dd87,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,,,,"2016-10-28 10:22:59","2016-10-28 10:23:24",deb03f8a5d
7cdef2df9e5bb8a8f67df7b8f3779999,Hyvä,Hyvä,Hyvä,Erinomainen,Hyvä,,,,"2016-10-28 10:38:33","2016-10-28 10:39:39",60e9e6080d
80a046d6f6da859bd189731b2f1eb917,Hyvä,Erinomainen,Erinomainen,Erinomainen,Erinomainen,,,,"2016-10-28 10:51:19","2016-10-28 10:52:23",60e9e6080d
f350ca2714d1e8c0e68e1f608218195e,Hyvä,Erinomainen,Erinomainen,Erinomainen,Hyvä,Erinomainen,,,"2016-11-02 13:56:24","2016-11-02 13:57:04",409a70f3c9
4d537e9190d15d21d7b804c8b9c8f3b8,Erinomainen,Hyvä,Hyvä,Hyvä,Hyvä,,Korjattavaa,,"2016-11-04 10:41:23","2016-11-04 10:51:50",deb03f8a5d
c73738529d48d4aad676bd1a69314071,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Korjattavaa,Erinomainen,Hyvä,"2016-11-04 11:03:55","2016-11-04 11:04:40",deb03f8a5d
fdbf1ca63db529892569f4de755d3758,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-11-04 11:09:53","2016-11-04 11:17:37",60e9e6080d
b08b1142448708cdc18c9b52978cefe4,Hyvä,Hyvä,Korjattavaa,Hyvä,Korjattavaa,Korjattavaa,Hyvä,Hyvä,"2016-11-04 11:19:56","2016-11-04 11:21:46",deb03f8a5d
8a7318ce8655b3bc5029da875b8be883,Hyvä,Erinomainen,Erinomainen,Hyvä,Korjattavaa,Hyvä,Hyvä,Hyvä,"2016-11-04 11:21:24","2016-11-04 11:32:26",deb03f8a5d
07945072f82a5eab916a3ace8d748e44,Hyvä,Hyvä,Korjattavaa,Erinomainen,Hyvä,Erinomainen,Erinomainen,Hyvä,"2016-11-04 11:32:38","2016-11-04 11:35:04",deb03f8a5d
e3440d9be6212f7fb50e80de665fe5ec,Hyvä,Erinomainen,Hyvä,Hyvä,Erinomainen,Erinomainen,Hyvä,Erinomainen,"2016-11-04 11:30:48","2016-11-04 11:36:19",deb03f8a5d
a6f612ee4c1767160c49d52b9d4cd9b5,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-11-04 11:35:48","2016-11-04 11:37:05",deb03f8a5d
632a9d63e5836420dfc6eaedc9a482b8,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-11-04 11:59:26","2016-11-04 12:00:15",409a70f3c9
154c41a9d516e9eac1766f02b7660657,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-11-04 11:39:13","2016-11-04 12:01:37",deb03f8a5d
4156036df63d2811dd014ec31384936d,Erinomainen,Hyvä,Hyvä,Korjattavaa,Hyvä,Hyvä,Hyvä,Erinomainen,"2016-11-04 11:37:28","2016-11-04 12:02:00",deb03f8a5d
2dc7aee224f96467c3a0d829ba0ef025,Erinomainen,Erinomainen,Hyvä,Erinomainen,Hyvä,Hyvä,Hyvä,Hyvä,"2016-11-04 12:05:27","2016-11-04 12:13:29",deb03f8a5d
7bd027c4ae1dfdc3e17da998c2115dcd,Hyvä,Erinomainen,Korjattavaa,Hyvä,Huono,Hyvä,Hyvä,Erinomainen,"2016-11-04 12:04:50","2016-11-04 12:13:40",deb03f8a5d
6a4147a4454f560e35d1ff31a9940b06,Erinomainen,Erinomainen,Hyvä,Hyvä,Hyvä,Erinomainen,Erinomainen,Erinomainen,"2016-11-04 12:13:52","2016-11-04 12:17:27",deb03f8a5d
fbb6373a8fba7e423c2e9e49c6a7afd3,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-11-04 14:54:44","2016-11-04 14:57:55",64f1bd6c0c
4518bfe31f79c6303164b077dd53a1a3,Erinomainen,Hyvä,Erinomainen,Hyvä,Erinomainen,Hyvä,Hyvä,Hyvä,"2016-11-11 11:51:44","2016-11-11 11:52:01",deb03f8a5d
5dbda4e10324a68eaf00744e98a91b09,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,Korjattavaa,"2016-11-11 12:01:38","2016-11-11 12:02:56",deb03f8a5d
f0b5101c1a2a08992e8aac59effe5e71,Hyvä,Erinomainen,Hyvä,Erinomainen,Hyvä,Erinomainen,Hyvä,Korjattavaa,"2016-11-11 12:01:10","2016-11-11 12:03:40",deb03f8a5d
628825d36450815579e7ac1a1e40cfe0,Erinomainen,Hyvä,Hyvä,Erinomainen,Hyvä,Korjattavaa,Hyvä,Hyvä,"2016-11-11 12:06:59","2016-11-11 12:07:50",deb03f8a5d
37544f973fd636b5965e829e0b7ccbe7,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Erinomainen,"2016-11-11 12:07:36","2016-11-11 12:07:52",60e9e6080d
74f2a80df6b4a8d8163e6faf80d34e50,Hyvä,Hyvä,Huono,Hyvä,Korjattavaa,Hyvä,Hyvä,Hyvä,"2016-11-11 12:06:52","2016-11-11 12:08:07",60e9e6080d
0ff1ed22f8a4eaa6fccc935440eff2a1,Erinomainen,Hyvä,Hyvä,Erinomainen,Erinomainen,Hyvä,Erinomainen,Erinomainen,"2016-11-11 12:06:11","2016-11-11 12:08:29",deb03f8a5d
eaa530a632863545560ad5f4e57e9d25,Hyvä,Hyvä,Hyvä,Hyvä,Korjattavaa,Erinomainen,Erinomainen,Korjattavaa,"2016-11-11 12:09:58","2016-11-11 12:11:19",60e9e6080d
848a2b421ffcdabcfa4c81609f95184a,Hyvä,Hyvä,Korjattavaa,Hyvä,Huono,Korjattavaa,Korjattavaa,Hyvä,"2016-11-11 12:19:18","2016-11-11 12:22:20",deb03f8a5d
e81b205149adf9de979664842d87dad0,Erinomainen,Erinomainen,Hyvä,Erinomainen,Hyvä,Hyvä,Hyvä,Hyvä,"2016-11-11 12:21:15","2016-11-11 12:26:23",deb03f8a5d
7bda39760cd2d86a3f9f431b1a4517e3,Korjattavaa,Korjattavaa,Korjattavaa,Korjattavaa,Korjattavaa,Hyvä,Hyvä,Hyvä,"2016-11-11 12:32:34","2016-11-11 12:33:11",deb03f8a5d
959d910247794caf77eaa63badd8edc1,Hyvä,Korjattavaa,Korjattavaa,Hyvä,Korjattavaa,Korjattavaa,Korjattavaa,Hyvä,"2016-11-13 19:30:18","2016-11-13 19:30:51",6102325b46
6ce6aae2c9fa76eebe5a222e328fef11,Erinomainen,Erinomainen,Erinomainen,Erinomainen,Hyvä,Hyvä,Erinomainen,Hyvä,"2016-11-14 15:15:46","2016-11-14 15:19:55",409a70f3c9
b5f2515829ade37db2e8feefefaf501e,Hyvä,Korjattavaa,Korjattavaa,Hyvä,Huono,Hyvä,,Hyvä,"2016-11-25 10:24:19","2016-11-25 10:25:26",deb03f8a5d
c5a125a6ef409b2e74dc4b32176a7c5b,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,Hyvä,"2016-11-25 11:00:33","2016-11-25 11:01:07",deb03f8a5d
b1425754a80d0cf03732a101c2e38e64,Hyvä,Hyvä,Korjattavaa,Hyvä,Korjattavaa,Erinomainen,Erinomainen,Korjattavaa,"2016-11-25 11:04:06","2016-11-25 11:05:53",deb03f8a5d
dba3eba693e2051c79aa1410763bf90a,Erinomainen,Erinomainen,Hyvä,Erinomainen,Hyvä,Erinomainen,Hyvä,Hyvä,"2016-11-28 15:02:42","2016-11-28 15:04:10",409a70f3c9
751ca266aff7ab84ebf25dcfad05a146,Korjattavaa,Erinomainen,Hyvä,Hyvä,Huono,Erinomainen,Hyvä,Korjattavaa,"2016-11-30 09:28:07","2016-11-30 09:29:20",deb03f8a5d
8f314a74eea31a36efe09665713510af,Korjattavaa,Hyvä,Erinomainen,Korjattavaa,Korjattavaa,Hyvä,Xls-tiedostona,Numeroina,"2016-12-02 17:55:10","2016-12-02 17:55:57",409a70f3c9
